nomea;url;capi
logradouro;https://opendata.arcgis.com/datasets/c5ba3f423a084e559cef63c07447cbb3_30.geojson;c5ba3f423a084e559cef63c07447cbb3_30.geojson
usodosolo;https://opendata.arcgis.com/datasets/e2ada7d7dc5f4cbba82f211390e58ed6_175.geojson;e2ada7d7dc5f4cbba82f211390e58ed6_175.geojson
bairro;https://opendata.arcgis.com/datasets/9d47aa6e8d9e499d8e5fc6d5a0e89bbd_105.geojson;9d47aa6e8d9e499d8e5fc6d5a0e89bbd_105.geojson
postes;https://opendata.arcgis.com/datasets/ea6143af1761428dac6927c6e123fd64_55.geojson;ea6143af1761428dac6927c6e123fd64_55.geojson
arborios;https://opendata.arcgis.com/datasets/7f9d3582713f48e2ac5eb1c1fadca345_25.geojson;7f9d3582713f48e2ac5eb1c1fadca345_25.geojson
arearisco;https://opendata.arcgis.com/datasets/b562fe99f4e64afe9fc78237bd7acc8c_90.geojson;b562fe99f4e64afe9fc78237bd7acc8c_90.geojson
lotes;https://opendata.arcgis.com/datasets/b757d5a7b06f443fbc0771db1d8baa65_15.geojson;b757d5a7b06f443fbc0771db1d8baa65_15.geojson
linhasonibus;https://opendata.arcgis.com/datasets/af46ce218ee848318c626d603ecb12cb_155.geojson;af46ce218ee848318c626d603ecb12cb_155.geojson
escolasmun;https://opendata.arcgis.com/datasets/a1bb1701746a4845b198e256e2dc022f_60.geojson;a1bb1701746a4845b198e256e2dc022f_60.geojson
escolasest;https://opendata.arcgis.com/datasets/c6fe47e5757d4a85b427af6a971fd8eb_65.geojson;c6fe47e5757d4a85b427af6a971fd8eb_65.geojson
areapmf;https://opendata.arcgis.com/datasets/a92435c93b3443fda5be3367e1f3d671_120.geojson;a92435c93b3443fda5be3367e1f3d671_120.geojson
appdeclividade;https://opendata.arcgis.com/datasets/b834070ea2254e4db6990c8d1fa0334b_35.geojson;b834070ea2254e4db6990c8d1fa0334b_35.geojson
